giocatore,link_a,link_b
Jan-Lennard Struff,https://www.atptour.com/en/players/jan-lennard-struff/sl28/rankings-breakdown,https://www.atptour.com/en/players/jan-lennard-struff/sl28/player-stats
Vit Kopriva,https://www.atptour.com/en/players/vit-kopriva/ki82/rankings-breakdown,https://www.atptour.com/en/players/vit-kopriva/ki82/player-stats
Juan Manuel Cerundolo,https://www.atptour.com/en/players/juan-manuel-cerundolo/c0c8/rankings-breakdown,https://www.atptour.com/en/players/juan-manuel-cerundolo/c0c8/player-stats
Mattia Bellucci,https://www.atptour.com/en/players/mattia-bellucci/b0gg/rankings-breakdown,https://www.atptour.com/en/players/mattia-bellucci/b0gg/player-stats
Alexander Shevchenko,https://www.atptour.com/en/players/alexander-shevchenko/s0h2/rankings-breakdown,https://www.atptour.com/en/players/alexander-shevchenko/s0h2/player-stats
Gijs Brouwer,https://www.atptour.com/en/players/gijs-brouwer/bo10/rankings-breakdown,https://www.atptour.com/en/players/gijs-brouwer/bo10/player-stats
Aleksandar Kovacevic,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/rankings-breakdown,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/player-stats
Maximilian Marterer,https://www.atptour.com/en/players/maximilian-marterer/mn13/rankings-breakdown,https://www.atptour.com/en/players/maximilian-marterer/mn13/player-stats
Alexandre Muller,https://www.atptour.com/en/players/alexandre-muller/mp20/rankings-breakdown,https://www.atptour.com/en/players/alexandre-muller/mp20/player-stats
Flavio Cobolli,https://www.atptour.com/en/players/flavio-cobolli/c0e9/rankings-breakdown,https://www.atptour.com/en/players/flavio-cobolli/c0e9/player-stats
Giulio Zeppieri,https://www.atptour.com/en/players/giulio-zeppieri/z0a1/rankings-breakdown,https://www.atptour.com/en/players/giulio-zeppieri/z0a1/player-stats
Zsombor Piros,https://www.atptour.com/en/players/zsombor-piros/p09o/rankings-breakdown,https://www.atptour.com/en/players/zsombor-piros/p09o/player-stats
Liam Broady,https://www.atptour.com/en/players/liam-broady/bi23/rankings-breakdown,https://www.atptour.com/en/players/liam-broady/bi23/player-stats
